Gender,Standard,Institute type,Siblings,Father's job,Mother's job,English,Learning progress,Learning habit maintenance,Teacher influence,Parent influence,Sibling influence,Peer influence,Self-learning motivation,Concentration power,Family support,Effective learning environment,Daily learning objectives,Learning resources,Communication and collaboration with friends
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Neither agree nor disagree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,Service,Average,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Three,Service,House wife,Average,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Agree,Disagree,Neither agree nor disagree,Disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Good,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,Service,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,Service,Below Average,Strongly Agree,Strongly Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Disagree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Three,Others,House wife,Average,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,Others,Excellent,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Average,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Excellent,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Strongly disagree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,Service,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Excellent,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,Social siences,Excellent,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Neither agree nor disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Good,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Others,House wife,Average,Disagree,Strongly disagree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Over four,Service,Service,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Over four,Service,Service,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Others,House wife,Excellent,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Average,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Service,House wife,Average,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,Others,Good,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Excellent,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Strongly disagree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Agree,Disagree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Free,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Average,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,09-Dec,Public,Two,Service,House wife,Below Average,Disagree,Disagree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,House wife,Average,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Over four,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,International,Two,Service,House wife,Excellent,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,Others,Good,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Others,House wife,Good,Neither agree nor disagree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Average,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Over four,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Social siences,House wife,Excellent,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
Male,05-Aug,Private,No ( 0 ),Service,House wife,Excellent,Agree,Strongly Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,Service,Average,Strongly disagree,Strongly disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Disagree,Strongly disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Average,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Average,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,Others,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Good,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Others,Others,Average,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Excellent,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Free,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Agree,Disagree,Disagree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Strongly disagree,Strongly disagree,Disagree,Neither agree nor disagree,Disagree,Strongly disagree,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Average,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Others,Service,Good,Disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Good,Agree,Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Strongly disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,05-Aug,Private,No ( 0 ),Service,Service,Excellent,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Over four,Others,House wife,Average,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Average,Disagree,Agree,Strongly disagree,Agree,Disagree,Disagree,Agree,Neither agree nor disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Average,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Over four,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,House wife,Good,Agree,Agree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Three,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,Service,Good,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,Service,Good,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,Service,Excellent,Strongly Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Strongly Agree,Agree,Strongly agree,Strongly Agree,Agree,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Others,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Excellent,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Below Average,Agree,Agree,Strongly agree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,Two,Free,Service,Excellent,Strongly Agree,Strongly Agree,Strongly disagree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Others,House wife,Good,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Free,House wife,Average,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,Two,Service,House wife,Good,Neither agree nor disagree,Disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Good,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Service,House wife,Good,Strongly Agree,Strongly Agree,Strongly agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Strongly Agree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Good,Strongly Agree,Strongly Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Service,House wife,Good,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Strongly Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,Others,Good,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,Service,Good,Neither agree nor disagree,Agree,Strongly disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,Over four,Others,House wife,Good,Disagree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Agree,Strongly Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
Female,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Average,Neither agree nor disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Service,House wife,Excellent,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Private,No ( 0 ),Others,Others,Good,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Strongly Agree
Female,College Level ( 1st /2nd /3rd /4th ) year,Private,One,Others,House wife,Good,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,One,Service,House wife,Good,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree
Male,College Level ( 1st /2nd /3rd /4th ) year,Public,No ( 0 ),Free,House wife,Average,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
